INVESTPREV	SEGURADORA	S/A	Balancete	Contábil	Analítico	01/02/2020	a	29/02/2020	Folha:	1				
1.1.4.6.2.0	480	ADIANTAMENTOS	A	FORNECEDORES	73.640,49	176.074,00	-187.856,98	-11.782,98	61.857,51					
														
1.1.4.6.2.0.0	481	ADIANTAMENTOS	A	FORNECEDORES	73.640,49	176.074,00	-187.856,98	-11.782,98	61.857,51					
														
1.1.4.6.2.0.0.0	482	ADIANTAMENTOS	A	FORNECEDORES	73.640,49	176.074,00	-187.856,98	-11.782,98	61.857,51					
														
1.1.4.6.2.0.0.0.0	65067	ADIANTAMENTOS	A	FORNECEDORES	73.640,49	176.074,00	-187.856,98	-11.782,98	61.857,51					
1.1.4.6.2.0.0.0.0.0	65068	ADIANTAMENTOS	A	FORNECEDORES	73.640,49	176.074,00	-187.856,98	-11.782,98	61.857,51					
1.1.4.6.2.0.0.0.0.0.0005	102876	PRODUTOS	E	SERVICOS	73.640,49	176.074,00	-187.856,98	-11.782,98	61.857,51					
														
1.1.4.6.8	126627	OUTROS	ADIANTAMENTOS	2.227,59	0	0	0	2.227,59						
														
1.1.4.6.8.0	485	OUTROS	ADIANTAMENTOS	2.227,59	0	0	0	2.227,59						
														
1.1.4.6.8.0.0	486	OUTROS	ADIANTAMENTOS	2.227,59	0	0	0	2.227,59						
														
1.1.4.6.8.0.0.0	487	OUTROS	ADIANTAMENTOS	2.227,59	0	0	0	2.227,59						
														
1.1.4.6.8.0.0.0.0	65069	OUTROS	ADIANTAMENTOS	2.227,59	0	0	0	2.227,59						
														
1.1.4.6.8.0.0.0.0.0	65070	OUTROS	ADIANTAMENTOS	2.227,59	0	0	0	2.227,59						
1.1.4.6.8.0.0.0.0.0.0003	701	ADIANTAMENTO	COMISSÃO	2.227,59	0	0	0	2.227,59						
														
1.1.4.8	126726	OUTROS	CREDITOS	27.950,92	32.066,32	-16.021,05	16.045,27	43.996,19						
														
1.1.4.8.1	45929	SALDOS	BANCARIOS	BLOQ	POR	DECISAO	JUDIC	27.950,92	32.066,32	-16.021,05	16.045,27	43.996,19		
														
1.1.4.8.1.0	49441	SALDOS	BANCARIOS	BLOQUEADOS	27.950,92	32.066,32	-16.021,05	16.045,27	43.996,19					
														
1.1.4.8.1.0.0	49456	SALDOS	BANCARIOS	BLOQUEADOS	27.950,92	32.066,32	-16.021,05	16.045,27	43.996,19					
														
1.1.4.8.1.0.0.0	49461	SALDOS	BANCARIOS	BLOQUEADOS	27.950,92	32.066,32	-16.021,05	16.045,27	43.996,19					
														
1.1.4.8.1.0.0.0.0	65071	SALDOS	BANCARIOS	BLOQUEADOS	27.950,92	32.066,32	-16.021,05	16.045,27	43.996,19					
														
1.1.4.8.1.0.0.0.0.0	65072	SALDOS	BANCARIOS	BLOQUEADOS	27.950,92	32.066,32	-16.021,05	16.045,27	43.996,19					
1.1.4.8.1.0.0.0.0.0.0010	114610	BANCO	DO	BRASIL	45,74	0	0	0	45,74					
1.1.4.8.1.0.0.0.0.0.0011	114620	BANCO	BRADESCO	13.632,59	16.021,05	-16.021,05	0	13.632,59						
1.1.4.8.1.0.0.0.0.0.0012	3	BANCO	BANRISUL	4.840,00	16.021,05	0	16.021,05	20.861,05						
1.1.4.8.1.0.0.0.0.0.0014	354	SICREDI	FUNDO	INVEST	RF	TITULOS	PUBL	9.432,59	24,22	0	24,22	9.456,81		
														
1.1.5	100930	OUTROS	VALORES	E	BENS	261.561,37	23.253,76	-55.889,79	-32.636,03	228.925,34				
														
1.1.5.1	126753	ATIVOS	NÃO	CIRCULANTES	MANTIDOS	P/	VENDA	235.189,26	20.237,85	-53.494,00	-33.256,15	201.933,11		
1.1.5.1.1	126762	SALVADOS	A	VENDA	235.189,26	20.237,85	-53.494,00	-33.256,15	201.933,11					
														
1.1.5.2	126790	ALMOXARIFADO	26.372,11	3.015,91	-2.395,79	620,12	26.992,23							
														
1.1.5.2.1	115015	ALMOXARIFADO	26.372,11	3.015,91	-2.395,79	620,12	26.992,23							
														
1.1.5.2.1.0	456	ALMOXARIFADO	26.372,11	3.015,91	-2.395,79	620,12	26.992,23							
														
1.1.5.2.1.0.0	461	ALMOXARIFADO	26.372,11	3.015,91	-2.395,79	620,12	26.992,23							
1.1.5.2.1.0.0.0	463	ALMOXARIFADO	26.372,11	3.015,91	-2.395,79	620,12	26.992,23							
														
1.1.5.2.1.0.0.0.0	464	ALMOXARIFADO	26.372,11	3.015,91	-2.395,79	620,12	26.992,23							
														
1.1.5.2.1.0.0.0.0.0	465	ALMOXARIFADO	26.372,11	3.015,91	-2.395,79	620,12	26.992,23							
1.1.5.2.1.0.0.0.0.0.0001	466	ALMOXARIFADO	26.372,11	3.015,91	-2.395,79	620,12	26.992,23							
														
1.1.7	100968	DESPESAS	ANTECIPADAS	151.003,79	0	-72.854,48	-72.854,48	78.149,31						
														
1.1.7.1	100977	OPERACIONAIS	133.098,69	0	-66.549,35	-66.549,35	66.549,34							
														
1.1.7.1.1	102380	DESPESAS	OPERACIONAIS	ANTECIPADAS	133.098,69	0	-66.549,35	-66.549,35	66.549,34					
														
1.1.7.1.1.0	572	DESPESAS	OPERACIONAIS	ANTECIPADAS	133.098,69	0	-66.549,35	-66.549,35	66.549,34					
														
1.1.7.1.1.0.0	573	DESPESAS	OPERACIONAIS	ANTECIPADAS	133.098,69	0	-66.549,35	-66.549,35	66.549,34					
														
1.1.7.1.1.0.0.0	574	DESPESAS	OPERACIONAIS	ANTECIPADAS	133.098,69	0	-66.549,35	-66.549,35	66.549,34					
														
1.1.7.1.1.0.0.0.0	65077	DESPESAS	OPERACIONAIS	ANTECIPADAS	133.098,69	0	-66.549,35	-66.549,35	66.549,34					
														
1.1.7.1.1.0.0.0.0.0	65078	DESPESAS	OPERACIONAIS	ANTECIPADAS	133.098,69	0	-66.549,35	-66.549,35	66.549,34					
1.1.7.1.1.0.0.0.0.0.0002	135031	TAXA	FISCALIZACAO	SUSEP	133.098,69	0	-66.549,35	-66.549,35	66.549,34					
														
1.1.7.2	111795	ADMINISTRATIVAS	17.905,10	0	-6.305,13	-6.305,13	11.599,97							
														
1.1.7.2.1	111802	DESPESAS	ADMINISTRAT	ANTECIPADAS	17.905,10	0	-6.305,13	-6.305,13	11.599,97					
														
1.1.7.2.1.0	49189	DESPESA	ADMINISTRATIVA	ANTECIPADA	17.905,10	0	-6.305,13	-6.305,13	11.599,97					
														
1.1.7.2.1.0.0	49194	DESPESA	ADMINISTRATIVA	ANTECIPADA	17.905,10	0	-6.305,13	-6.305,13	11.599,97					
														
1.1.7.2.1.0.0.0	49203	DESPESA	ADMINISTRATIVA	ANTECIPADA	17.905,10	0	-6.305,13	-6.305,13	11.599,97					
														
1.1.7.2.1.0.0.0.0	65079	DESPESA	ADMINISTRATIVA	ANTECIPADA	17.905,10	0	-6.305,13	-6.305,13	11.599,97					
														
1.1.7.2.1.0.0.0.0.0	65080	DESPESA	ADMINISTRATIVA	ANTECIPADA	17.905,10	0	-6.305,13	-6.305,13	11.599,97					
1.1.7.2.1.0.0.0.0.0.0001	117210	DESPESA	ADMINISTRATIVA	ANTECIPADA	17.905,10	0	-6.305,13	-6.305,13	11.599,97					
														
1.1.8	126970	CUSTOS	DE	AQUISICAO	DIFERIDOS	5.582.898,39	1.762,00	-161.525,52	-159.763,52	5.423.134,87				
														
1.1.8.1	126989	COMISSOES	DIFERIDAS	-	SEGUROS	5.582.898,39	1.762,00	-161.525,52	-159.763,52	5.423.134,87				
1.1.8.1.1	120880	COMISSAO	DE	SEGUROS	5.441.712,35	1.727,03	-147.776,78	-146.049,75	5.295.662,60					
1.1.8.1.3	643	COMISSÕES	DE	SEGUROS	RVNE	139.016,81	34,97	-13.437,86	-13.402,89	125.613,92				
														
1.1.8.1.8	120892	OUTROS	CUSTOS	DE	AQUISIÇÃO	DIFERIDOS	2.169,23	0	-310,88	-310,88	1.858,35			
1.1.8.1.8.1	152	OUTROS	CUSTOS	DE	AQUISIÇÃO	DIFERIDO	2.169,23	0	-310,88	-310,88	1.858,35			
														
1.1.9	120897	PREMIO	DE	RESSEGURO	E	RETROC	DIFERIDOS	19.018.727,18	1.139.227,83	-1.320.351,15	-181.123,32	18.837.603,86		
														
1.1.9.1	120898	PREMIOS	DE	RESSEGURO	DIFERIDOS	7.200.429,40	4.433,76	-463.511,66	-459.077,90	6.741.351,50				
														
1.1.9.1.1	157	PREMIO	DE	RESSEGURO	DIFERIDO	-	PPNG	7.093.845,71	4.433,76	-459.598,96	-455.165,20	6.638.680,51		
1.1.9.1.1.1	158	PREMIO	DE	RESSEGURO	DIFERIDO	-	PPNG	7.093.845,71	4.433,76	-459.598,96	-455.165,20	6.638.680,51		
1.1.9.1.2	190	PREMIO	DE	RESSEGURO	DIFERIDO	-	RVNE	106.583,69	0	-3.912,70	-3.912,70	102.670,99		
														
1.1.9.3	198	SINISTROS	-	RESSEGUROS	11.818.297,78	1.134.794,07	-856.839,49	277.954,58	12.096.252,36					
														
1.1.9.3.1	132	SINISTROS	PENDENTES	DE	PAGAMENTO	9.489.016,26	1.093.033,97	-757.691,12	335.342,85	9.824.359,11				
														
1.1.9.3.1.1	133	SINISTROS	PENDENTES	DE	PAGAMENTO	8.392.458,19	1.080.158,85	-725.688,62	354.470,23	8.746.928,42				
1.1.9.3.1.1.1	134	SIN	PEND	PAGTO	-	RESSEG	LOCAL	7.296.690,10	1.060.365,77	-700.945,02	359.420,75	7.656.110,85		
1.1.9.3.1.1.2	131	SIN	PEND	PAGTO	-	RESSEG	ADMITIDA	1.064.381,48	19.573,33	-24.671,60	-5.098,27	1.059.283,21		
1.1.9.3.1.1.3	137	SIN	PEND	PAGTO	-	RESSEG	EVENTUAL	31.386,61	219,75	-72	147,75	31.534,36		
														
1.1.9.3.1.2	602	IBNER	1.096.558,07	12.875,12	-32.002,50	-19.127,38	1.077.430,69							
1.1.9.3.1.2.2	616	IBNER	JUD	1.096.558,07	12.875,12	-32.002,50	-19.127,38	1.077.430,69						
1.1.9.3.2	199	IBNR	1.705.382,94	68,06	-50.145,52	-50.077,46	1.655.305,48							
														
1.1.9.3.5	139	PROVISÃO	DE	DESPESAS	RELACIONADAS	PSL	394.039,12	41.105,29	-41.040,46	64,83	394.103,95			
1.1.9.3.5.1	140	PROV	DE	DESP	RELACIONADAS	RESSEG	LOCAL	319.384,48	38.233,84	-38.244,22	-10,38	319.374,10		
1.1.9.3.5.2	141	PROV	DE	DESP	RELACIONADAS	RESSEG	ADMITID	72.854,64	2.871,45	-2.796,24	75,21	72.929,85		
1.1.9.3.5.3	142	PROV	DESP	RELACIONADAS	RESSEG	EVENTUAL	1.800,00	0	0	0	1.800,00			
														
1.1.9.3.6	603	PROVISÃO	DE	DESPESAS	RELACIONADAS	IBNER	64.664,87	566,06	-3.240,62	-2.674,56	61.990,31			
1.1.9.3.6.1	604	PROV	DESP	RELAC	IBNER	JUD	-	ALAE	24.321,78	278,77	-1.827,11	-1.548,34	22.773,44	
1.1.9.3.6.2	753	PROV	DESP	RELAC	IBNER	-	JUD	-	ULAE	40.343,09	287,29	-1.413,51	-1.126,22	39.216,87
														
1.1.9.3.7	618	PROVISÃO	DESPESAS	RELACIONADAS	-	IBNR	165.194,59	20,69	-4.721,77	-4.701,08	160.493,51			
1.1.9.3.7.1	619	PROV	DESP	RELACIONADAS	IBNR	ADM	-	ALAE	105.619,70	20,39	-2.850,95	-2.830,56	102.789,14	
1.1.9.3.7.2	620	PROV	DESP	RELACIONADAS	IBNR	JUD	-	ALAE	11.906,85	0,3	-364,92	-364,62	11.542,23	
1.1.9.3.7.3	751	PROV	DESP	RELACIONADAS	IBNR	ADM	-	ULAE	42.154,56	0	-1.329,98	-1.329,98	40.824,58	
1.1.9.3.7.4	752	PROV	DESP	RELACIONADAS	IBNR	JUD	-	ULAE	5.513,48	0	-175,92	-175,92	5.337,56	
														
1.2	101263	ATIVO	NAO	CIRCULANTE	121.835.322,04	27.100.781,53	-26.514.818,19	585.963,34	122.421.285,38					
														
1.2.1	121000	REALIZAVEL	A	LONGO	PRAZO	76.893.377,00	27.090.870,42	-26.491.884,05	598.986,37	77.492.363,37				
														
1.2.1.1	121001	APLICACOES	72.254.595,09	27.081.472,08	-26.491.884,05	589.588,03	72.844.183,12							
														
1.2.1.1.2	121013	TITULOS	DE	RENDA	FIXA	-	PUBLICOS	72.254.595,09	23.025.767,08	-25.884.159,05	-2.858.391,97	69.396.203,12		
														
1.2.1.1.2.1	121014	VINCULADOS	A	COBERTURA	PROV	TECNICAS	72.254.595,09	23.025.767,08	-25.884.159,05	-2.858.391,97	69.396.203,12			
														
1.2.1.1.2.1.1	121015	TITULOS	DIVIDA	PUBLICA	INTERNA	#NOME?	72.254.595,09	23.025.767,08	-25.884.159,05	-2.858.391,97	69.396.203,12			
														
1.2.1.1.2.1.1.1	121016	VALOR	ORIGINAL	72.188.517,21	23.019.383,02	-25.881.175,48	-2.861.792,46	69.326.724,75						
														
1.2.1.1.2.1.1.1.0	65083	VALOR	ORIGINAL	72.188.517,21	23.019.383,02	-25.881.175,48	-2.861.792,46	69.326.724,75						
														
1.2.1.1.2.1.1.1.0.0	65084	VALOR	ORIGINAL	72.188.517,21	23.019.383,02	-25.881.175,48	-2.861.792,46	69.326.724,75						
1.2.1.1.2.1.1.1.0.0.0001	135211	LETRAS	FINANCEIRAS	DO	TESOURO	71.818.796,60	23.019.383,02	-25.881.175,48	-2.861.792,46	68.957.004,14				
1.2.1.1.2.1.1.1.0.0.0004	579	NOTAS	DO	TESOURO	NACIONAL	SERIE	B	#NOME?	B	369.720,61	0	0	0	369.720,61
														
1.2.1.1.2.1.1.2	121017	AJUSTE	AO	VALOR	DE	MERCADO	66.077,88	6.384,06	-2.983,57	3.400,49	69.478,37			
														
1.2.1.1.2.1.1.2.0	65085	AJUSTE	AO	VALOR	DE	MERCADO	66.077,88	6.384,06	-2.983,57	3.400,49	69.478,37			
														
1.2.1.1.2.1.1.2.0.0	65086	AJUSTE	AO	VALOR	DE	MERCADO	66.077,88	6.384,06	-2.983,57	3.400,49	69.478,37			
1.2.1.1.2.1.1.2.0.0.0001	135267	LETRAS	FINANCEIRAS	DO	TESOURO	2.983,57	2.983,57	-2.983,57	0	2.983,57				
1.2.1.1.2.1.1.2.0.0.0004	580	NOTAS	DO	TESOURO	NACIONAL	SERIE	B	#NOME?	B	63.094,31	3.400,49	0	3.400,49	66.494,80
														
1.2.1.1.3	121042	TITULOS	DE	RENDA	VARIAVEL	0	4.055.705,00	-607.725,00	3.447.980,00	3.447.980,00				
														
1.2.1.1.3.1	121043	VINCULADOS	A	COBERTURA	DE	PROV	TECNICAS	0	4.055.705,00	-607.725,00	3.447.980,00	3.447.980,00		
														
1.2.1.1.3.1.1	121044	ACOES	DE	SOCIEDADES	DE	CAPITAL	ABERTO	0	4.055.705,00	-607.725,00	3.447.980,00	3.447.980,00		
														
1.2.1.1.3.1.1.1	121045	VALOR	ORIGINAL	0	4.055.705,00	-607.725,00	3.447.980,00	3.447.980,00						
														
1.2.1.1.3.1.1.1.0	761	VALOR	ORIGINAL	0	4.055.705,00	-607.725,00	3.447.980,00	3.447.980,00						
														
1.2.1.1.3.1.1.1.0.0	762	VALOR	ORIGINAL	0	4.055.705,00	-607.725,00	3.447.980,00	3.447.980,00						
1.2.1.1.3.1.1.1.0.0.0001	763	AÇÕES	VARIAVEIS	GAFISA	-	GFSA3	0	2.990.875,00	-479.675,00	2.511.200,00	2.511.200,00			
1.2.1.1.3.1.1.1.0.0.0002	764	AÇÕES	VARIAVEIS	ITAU	S.A	-	ITSA4	0	1.064.830,00	-128.050,00	936.780,00	936.780,00		
														
1.2.1.3	121180	TITULOS	E	CREDITOS	A	RECEBER	4.638.781,91	9.398,34	0	9.398,34	4.648.180,25			
														
1.2.1.3.5	121214	DEPOSITOS	JUDICIAIS	E	FISCAIS	4.638.781,91	9.398,34	0	9.398,34	4.648.180,25				
														
1.2.1.3.5.1	121215	DEPOSITOS	JUDICIAIS	-	SINISTROS	472.520,94	9.398,34	0	9.398,34	481.919,28				
														
1.2.1.3.5.1.0	121308	DEPOSITOS	JUDICIAIS	-	SINISTROS	472.520,94	9.398,34	0	9.398,34	481.919,28				
														
1.2.1.3.5.1.0.0	121309	DEPOSITOS	JUDICIAIS	-	SINISTROS	472.520,94	9.398,34	0	9.398,34	481.919,28				
														
1.2.1.3.5.1.0.0.0	65135	DEPOSITOS	JUDICIAIS	-	SINISTROS	472.520,94	9.398,34	0	9.398,34	481.919,28				
														
1.2.1.3.5.1.0.0.0.0	65136	DEPOSITOS	JUDICIAIS	-	SINISTROS	472.520,94	9.398,34	0	9.398,34	481.919,28				
1.2.1.3.5.1.0.0.0.0.0001	129642	DEPOSITOS	JUDICIAIS	-	SINISTROS	472.520,94	9.398,34	0	9.398,34	481.919,28				
														
1.2.1.3.5.7	121221	DEP	JUDICIAIS	E	FISCAIS	-	CIVEIS	122.777,21	0	0	0	122.777,21		
														
1.2.1.3.5.7.0	121320	DEP	JUDICIAIS	E	FISCAIS	-	CIVEIS	122.777,21	0	0	0	122.777,21		
														
1.2.1.3.5.7.0.0	121321	DEP	JUDICIAIS	E	FISCAIS	-	CIVEIS	122.777,21	0	0	0	122.777,21		
														
1.2.1.3.5.7.0.0.0	65145	DEP	JUDICIAIS	E	FISCAIS	-	CIVEIS	122.777,21	0	0	0	122.777,21		
														
1.2.1.3.5.7.0.0.0.0	65146	DEP	JUDICIAIS	E	FISCAIS	-	CIVEIS	122.777,21	0	0	0	122.777,21		
1.2.1.3.5.7.0.0.0.0.0001	129698	DEP	JUD	E	FISCAIS	CONTINGENC	CIVEIS	122.777,21	0	0	0	122.777,21		
														
1.2.1.3.5.8	121222	OUTROS	DEPOSITOS	4.043.483,76	0	0	0	4.043.483,76						
														
1.2.1.3.5.8.0	121322	OUTROS	DEPOSITOS	4.043.483,76	0	0	0	4.043.483,76						
														
1.2.1.3.5.8.0.0	121323	OUTROS	DEPOSITOS	4.043.483,76	0	0	0	4.043.483,76						
														
1.2.1.3.5.8.0.0.0	65147	OUTROS	DEPOSITOS	4.043.483,76	0	0	0	4.043.483,76						
														
1.2.1.3.5.8.0.0.0.0	65148	OUTROS	DEPOSITOS	4.043.483,76	0	0	0	4.043.483,76						
1.2.1.3.5.8.0.0.0.0.0003	133971	DEPOSITOS	E	FUNDOS	DIVERSOS	4.043.483,76	0	0	0	4.043.483,76				
														
1.2.1.3.8	121223	OUTROS	CREDITOS	A	RECEBER	0	0	0	0	0				
														
1.2.1.3.8.8	121225	OUTROS	CREDITOS	0	0	0	0	0						
														
1.2.1.3.8.8.0	121324	OUTROS	CREDITOS	0	0	0	0	0						
														
1.2.1.3.8.8.0.0	121325	OUTROS	CREDITOS	0	0	0	0	0						
														
1.2.1.3.8.8.0.0.0	65149	OUTROS	CREDITOS	0	0	0	0	0						
														
1.2.1.3.8.8.0.0.0.0	65150	OUTROS	CREDITOS	0	0	0	0	0						
1.2.1.3.8.8.0.0.0.0.0002	124811	RECUP	RESSEG	IRB	SINITRO	BC	RURAL	fev/99	2.800.107,01	0	0	0	2.800.107,01	
1.2.1.3.8.8.0.0.0.0.0003	124812	(-)	PDD	S/	RECUP	IRB	SINISTRO	BC	RURAL	-2.800.107,01	0	0	0	-2.800.107,01
														
1.2.2	121336	INVESTIMENTOS	44.457.206,52	0	0	0	44.457.206,52							
														
1.2.2.1	121337	PARTIC	SOCIETARIAS	-	INVESTIM	NO	PAIS	44.428.148,44	0	0	0	44.428.148,44		
														
1.2.2.1.1	121338	ACOES	EMP	FINAC	OU	EQUIP	SUBSID	INTEGRA	296.783,92	0	0	0	296.783,92	
														
1.2.2.1.1.1	121339	VALOR	PATRIMONIAL	296.783,92	0	0	0	296.783,92						
1.2.2.1.1.1.0	122265	VALOR	PATRIMONIAL	296.783,92	0	0	0	296.783,92						
														
1.2.2.1.1.1.0.0	12266	VALOR	PATRIMONIAL	296.783,92	0	0	0	296.783,92						
														
1.2.2.1.1.1.0.0.0	65159	VALOR	PATRIMONIAL	296.783,92	0	0	0	296.783,92						
														
1.2.2.1.1.1.0.0.0.0	65160	VALOR	PATRIMONIAL	296.783,92	0	0	0	296.783,92						
1.2.2.1.1.1.0.0.0.0.0001	129940	SEGURADORA	LIDER	S.A.	296.783,92	0	0	0	296.783,92					
														
1.2.2.1.2	121341	ACOES	EMP	FINANC	OU	EQUIPARADA,CONTROLA	44.131.364,52	0	0	0	44.131.364,52			
														
1.2.2.1.2.1	121342	VALOR	PATRIMONIAL	44.131.364,52	0	0	0	44.131.364,52						
														
1.2.2.1.2.1.0	122269	VALOR	PATRIMONIAL	44.131.364,52	0	0	0	44.131.364,52						
														
1.2.2.1.2.1.0.0	122270	VALOR	PATRIMONIAL	44.131.364,52	0	0	0	44.131.364,52						
														
1.2.2.1.2.1.0.0.0	65163	VALOR	PATRIMONIAL	44.131.364,52	0	0	0	44.131.364,52						
														
1.2.2.1.2.1.0.0.0.0	65164	VALOR	PATRIMONIAL	44.131.364,52	0	0	0	44.131.364,52						
1.2.2.1.2.1.0.0.0.0.0001	141121	INVEST	CAPITALIZAÇÃO	S.A.	44.131.364,52	0	0	0	44.131.364,52					
														
1.2.2.3	122166	INCENTIVOS	FISCAIS	29.058,08	0	0	0	29.058,08						
														
1.2.2.3.1	122167	ACOES	DE	INCENTIVOS	FISCAIS	29.058,08	0	0	0	29.058,08				
														
1.2.2.3.1.0	122289	ACOES	DE	INCENTIVOS	FISCAIS	29.058,08	0	0	0	29.058,08				
														
1.2.2.3.1.0.0	122290	ACOES	DE	INCENTIVOS	FISCAIS	29.058,08	0	0	0	29.058,08				
														
1.2.2.3.1.0.0.0	122291	ACOES	DE	INCENTIVOS	FISCAIS	29.058,08	0	0	0	29.058,08				
														
1.2.2.3.1.0.0.0.0	65185	ACOES	DE	INCENTIVOS	FISCAIS	29.058,08	0	0	0	29.058,08				
														
1.2.2.3.1.0.0.0.0.0	65186	ACOES	DE	INCENTIVOS	FISCAIS	29.058,08	0	0	0	29.058,08				
1.2.2.3.1.0.0.0.0.0.0002	140053	NOVA	DATA	SIST.	COMPUT	S/A	29.058,08	0	0	0	29.058,08			
														
1.2.3	122209	IMOBILIZADO	484.738,52	9.911,11	-22.934,14	-13.023,03	471.715,49							
														
1.2.3.1	122210	IMOVEIS	DE	USO	PROPRIO	19.756,70	0	0	0	19.756,70				
														
1.2.3.1.1	122211	TERRENOS	2.404,52	0	0	0	2.404,52							
														
1.2.3.1.1.1	122212	TERRENOS	-	CUSTO	DE	AQUISICAO	2.404,52	0	0	0	2.404,52			
														
1.2.3.1.1.1.0	122326	TERRENOS	-	CUSTO	DE	AQUISICAO	2.404,52	0	0	0	2.404,52			
1.2.3.1.1.1.0.0	122327	TERRENOS	-	CUSTO	DE	AQUISICAO	2.404,52	0	0	0	2.404,52			
														
1.2.3.1.1.1.0.0.0	65219	TERRENOS	-	CUSTO	DE	AQUISICAO	2.404,52	0	0	0	2.404,52			
														
1.2.3.1.1.1.0.0.0.0	65220	TERRENOS	-	CUSTO	DE	AQUISICAO	2.404,52	0	0	0	2.404,52			
1.2.3.1.1.1.0.0.0.0.0001	150322	TERRENOS	-	CUSTO	DE	AQUISICAO	2.404,52	0	0	0	2.404,52			
														
1.2.3.1.2	122215	EDIFICACAO	39.128,72	0	0	0	39.128,72							
														
1.2.3.1.2.1	122216	EDIFICACOES	-	CUSTO	DE	AQUISICAO	24.770,72	0	0	0	24.770,72			
														
1.2.3.1.2.1.0	122332	EDIFICACOES	-	CUSTO	DE	AQUISICAO	24.770,72	0	0	0	24.770,72			
														
1.2.3.1.2.1.0.0	122333	EDIFICACOES	-	CUSTO	DE	AQUISICAO	24.770,72	0	0	0	24.770,72			
														
1.2.3.1.2.1.0.0.0	65225	EDIFICACOES	-	CUSTO	DE	AQUISICAO	24.770,72	0	0	0	24.770,72			
														
1.2.3.1.2.1.0.0.0.0	65226	EDIFICACOES	-	CUSTO	DE	AQUISICAO	24.770,72	0	0	0	24.770,72			
1.2.3.1.2.1.0.0.0.0.0001	130785	EDIFICACOES	-	CUSTO	DE	AQUISICAO	24.770,72	0	0	0	24.770,72			
														
1.2.3.1.2.2	122217	EDIFICACOES	-	REAVALIACAO	14.358,00	0	0	0	14.358,00					
														
1.2.3.1.2.2.0	122334	EDIFICACOES	-	REAVALIACAO	14.358,00	0	0	0	14.358,00					
														
1.2.3.1.2.2.0.0	122335	EDIFICACOES	-	REAVALIACAO	14.358,00	0	0	0	14.358,00					
														
1.2.3.1.2.2.0.0.0	65227	EDIFICACOES	-	REAVALIACAO	14.358,00	0	0	0	14.358,00					
														
1.2.3.1.2.2.0.0.0.0	65228	EDIFICACOES	-	REAVALIACAO	14.358,00	0	0	0	14.358,00					
1.2.3.1.2.2.0.0.0.0.0001	130794	EDIFICACOES	-	REAVALIACAO	14.358,00	0	0	0	14.358,00					
														
1.2.3.1.9	122219	DEPRECIACAO	ACUMULADA	-21.776,54	0	0	0	-21.776,54						
														
1.2.3.1.9.1	122220	EDIFICACOES	-	CUSTO	DE	AQUISICAO	-17.195,06	0	0	0	-17.195,06			
														
1.2.3.1.9.1.0	122336	EDIFICACOES	-	CUSTO	DE	AQUISICAO	-17.195,06	0	0	0	-17.195,06			
														
1.2.3.1.9.1.0.0	122337	EDIFICACOES	-	CUSTO	DE	AQUISICAO	-17.195,06	0	0	0	-17.195,06			
														
1.2.3.1.9.1.0.0.0	65229	EDIFICACOES	-	CUSTO	DE	AQUISICAO	-17.195,06	0	0	0	-17.195,06			
														
1.2.3.1.9.1.0.0.0.0	65230	EDIFICACOES	-	CUSTO	DE	AQUISICAO	-17.195,06	0	0	0	-17.195,06			
1.2.3.1.9.1.0.0.0.0.0001	130820	EDIFICACOES	-	CUSTO	DE	AQUISICAO	-17.195,06	0	0	0	-17.195,06			
														
1.2.3.1.9.2	122223	EDIFICACOES	-	REAVALIACAO	-4.581,48	0	0	0	-4.581,48					
														
1.2.3.1.9.2.0	122338	EDIFICACOES	-	REAVALIACAO	-4.581,48	0	0	0	-4.581,48					
														
1.2.3.1.9.2.0.0	122339	EDIFICACOES	-	REAVALIACAO	-4.581,48	0	0	0	-4.581,48					
														
1.2.3.1.9.2.0.0.0	65231	EDIFICACOES	-	REAVALIACAO	-4.581,48	0	0	0	-4.581,48					
														
1.2.3.1.9.2.0.0.0.0	65232	EDIFICACOES	-	REAVALIACAO	-4.581,48	0	0	0	-4.581,48					
1.2.3.1.9.2.0.0.0.0.0001	130839	EDIFICACOES	-	REAVALIACAO	-4.581,48	0	0	0	-4.581,48					
														
1.2.3.2	122224	EQUIPAMENTOS	114.006,45	0	-4.242,04	-4.242,04	109.764,41							
														
1.2.3.2.1	122225	INFORMATICA	648.212,29	0	0	0	648.212,29							
														
1.2.3.2.1.1	122226	HARDWARE	336.208,93	0	0	0	336.208,93							
														
1.2.3.2.1.1.0	122340	HARDWARE	336.208,93	0	0	0	336.208,93							
														
1.2.3.2.1.1.0.0	122341	HARDWARE	336.208,93	0	0	0	336.208,93							
														
1.2.3.2.1.1.0.0.0	65233	HARDWARE	336.208,93	0	0	0	336.208,93							
														
1.2.3.2.1.1.0.0.0.0	65234	HARDWARE	336.208,93	0	0	0	336.208,93							
1.2.3.2.1.1.0.0.0.0.0001	150350	INFORMATICA	336.208,93	0	0	0	336.208,93							
														
1.2.3.2.1.2	122227	SISTEMAS	APLICATIVOS	312.003,36	0	0	0	312.003,36						
														
1.2.3.2.1.2.0	122342	SISTEMAS	APLICATIVOS	312.003,36	0	0	0	312.003,36						
														
1.2.3.2.1.2.0.0	122343	SISTEMAS	APLICATIVOS	312.003,36	0	0	0	312.003,36						
														
